S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
78.0,9.0,0.0,26.0,33.0,45.0,3.0,14.0,8.0,2.0,23.0,50.0,9.0,48.0,9.0,78.0,3.0,38.0,26.444444444444443,1979.2407407407406,52.0,21.75,18.444444444444443,40.5,38.0
77.7,9.7,2.0,23.4,33.0,41.6,3.0,14.0,8.2,2.2,23.133333333333333,47.93333333333333,9.0,46.8,11.2,78.0,3.0,39.9,26.32037037037037,1955.2147119341562,50.55,21.575,18.385185185185183,40.5,39.9
77.4,10.4,4.0,20.8,33.0,38.2,3.0,14.0,8.4,2.4,23.266666666666666,45.86666666666667,9.0,45.6,13.4,78.0,3.0,41.8,26.196296296296296,1931.188683127572,49.1,21.4,18.325925925925926,40.5,41.8
77.1,11.1,6.0,18.2,33.0,34.8,3.0,14.0,8.6,2.6,23.4,43.8,9.0,44.4,15.600000000000001,78.0,3.0,43.7,26.072222222222223,1907.1626543209875,47.65,21.225,18.266666666666666,40.5,43.7
76.8,11.8,8.0,15.6,33.0,31.4,3.0,14.0,8.8,2.8,23.53333333333333,41.733333333333334,9.0,43.2,17.8,78.0,3.0,45.6,25.94814814814815,1883.136625514403,46.2,21.05,18.207407407407405,40.5,45.6
76.5,12.5,10.0,13.0,33.0,28.0,3.0,14.0,9.0,3.0,23.666666666666664,39.666666666666664,9.0,42.0,20.0,78.0,3.0,47.5,25.824074074074076,1859.1105967078188,44.75,20.875,18.148148148148145,40.5,47.5
76.2,13.2,12.0,10.399999999999999,33.0,24.6,3.0,14.0,9.2,3.2,23.8,37.599999999999994,9.0,40.8,22.200000000000003,78.0,3.0,49.4,25.7,1835.0845679012343,43.3,20.7,18.08888888888889,40.5,49.4
75.9,13.899999999999999,14.0,7.800000000000001,33.0,21.2,3.0,14.0,9.4,3.4000000000000004,23.933333333333334,35.53333333333333,9.0,39.6,24.400000000000002,78.0,3.0,51.3,25.575925925925926,1811.0585390946499,41.85,20.525,18.02962962962963,40.5,51.3
75.6,14.6,16.0,5.199999999999999,33.0,17.8,3.0,14.0,9.6,3.6,24.066666666666666,33.46666666666667,9.0,38.4,26.6,78.0,3.0,53.2,25.451851851851853,1787.0325102880654,40.4,20.35,17.970370370370368,40.5,53.2
75.3,15.3,18.0,2.599999999999998,33.0,14.400000000000002,3.0,14.0,9.8,3.8,24.2,31.4,9.0,37.2,28.8,78.0,3.0,55.099999999999994,25.32777777777778,1763.0064814814812,38.95,20.175,17.91111111111111,40.5,55.099999999999994
75.0,16.0,20.0,0.0,33.0,11.0,3.0,14.0,10.0,4.0,24.333333333333332,29.333333333333332,9.0,36.0,31.0,78.0,3.0,57.0,25.203703703703706,1738.9804526748967,37.5,20.0,17.85185185185185,40.5,57.0
69.3,16.4,18.3,2.5,31.9,10.6,3.6,13.633333333333333,9.833333333333334,4.6,22.833333333333332,27.0,10.6,36.0,31.9,70.8,2.7,54.5,24.27777777777778,1612.480041152263,35.9,19.3,17.77777777777778,36.75,54.5
63.6,16.8,16.6,5.0,30.8,10.2,4.2,13.266666666666667,9.666666666666666,5.2,21.333333333333332,24.666666666666664,12.2,36.0,32.8,63.6,2.4,52.0,23.351851851851855,1485.9796296296292,34.3,18.6,17.703703703703702,33.0,52.0
57.9,17.2,14.9,7.5,29.7,9.8,4.8,12.9,9.5,5.8,19.833333333333332,22.333333333333332,13.8,36.0,33.7,56.4,2.1,49.5,22.425925925925927,1359.4792181069956,32.7,17.9,17.62962962962963,29.25,49.5
52.2,17.6,13.2,10.0,28.6,9.4,5.4,12.533333333333333,9.333333333333334,6.4,18.333333333333332,20.0,15.4,36.0,34.6,49.2,1.8,47.0,21.5,1232.9788065843618,31.1,17.2,17.555555555555554,25.5,47.0
46.5,18.0,11.5,12.5,27.5,9.0,6.0,12.166666666666668,9.166666666666668,7.0,16.833333333333332,17.666666666666668,17.0,36.0,35.5,42.0,1.5,44.5,20.574074074074076,1106.4783950617282,29.5,16.5,17.48148148148148,21.75,44.5
40.8,18.4,9.8,15.0,26.4,8.6,6.6,11.8,9.0,7.6,15.333333333333334,15.333333333333334,18.6,36.0,36.4,34.8,1.2000000000000002,42.0,19.64814814814815,979.9779835390946,27.9,15.8,17.40740740740741,18.0,42.0
35.1,18.8,8.1,17.5,25.299999999999997,8.2,7.2,11.433333333333334,8.833333333333334,8.2,13.833333333333334,13.0,20.200000000000003,36.0,37.3,27.6,0.8999999999999999,39.5,18.72222222222222,853.4775720164608,26.299999999999997,15.100000000000001,17.333333333333332,14.25,39.5
29.4,19.2,6.4,20.0,24.2,7.8,7.8,11.066666666666666,8.666666666666668,8.8,12.333333333333334,10.666666666666668,21.8,36.0,38.2,20.4,0.6000000000000001,37.0,17.796296296296298,726.9771604938271,24.7,14.4,17.25925925925926,10.5,37.0
23.699999999999996,19.6,4.700000000000001,22.5,23.1,7.4,8.399999999999999,10.700000000000001,8.5,9.399999999999999,10.833333333333334,8.333333333333336,23.4,36.0,39.1,13.200000000000003,0.30000000000000027,34.5,16.87037037037037,600.4767489711935,23.1,13.7,17.185185185185183,6.75,34.5
18.0,20.0,3.0,25.0,22.0,7.0,9.0,10.333333333333334,8.333333333333334,10.0,9.333333333333334,6.0,25.0,36.0,40.0,6.0,0.0,32.0,15.944444444444443,473.97633744855966,21.5,13.0,17.11111111111111,3.0,32.0
16.5,18.9,3.6,26.0,22.0,7.2,9.3,9.633333333333335,7.833333333333334,9.7,8.4,5.533333333333333,24.833333333333332,33.0,37.2,8.7,2.2,29.7,15.568518518518516,464.25874485596705,21.25,12.925,16.159259259259258,5.45,29.7
