S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
51.0,98.0,19.0,0.0,44.0,16.0,18.0,21.333333333333332,6.333333333333333,16.0,28.0,0.0,24.0,34.0,14.0,3.0,0.0,13.0,25.977777777777778,1186.2162962962964,25.5,44.25,17.962962962962962,1.5,13.0
51.2,92.9,19.0,0.0,47.7,16.1,18.0,22.299999999999997,6.3999999999999995,21.0,26.2,0.0,23.833333333333332,32.3,15.1,3.0,0.0,12.7,26.135555555555555,1214.6029629629631,25.6,43.925,18.348148148148148,1.5,12.7
51.4,87.8,19.0,0.0,51.4,16.2,18.0,23.266666666666666,6.466666666666667,26.0,24.4,0.0,23.666666666666668,30.6,16.2,3.0,0.0,12.4,26.293333333333333,1242.9896296296297,25.7,43.6,18.733333333333334,1.5,12.4
51.6,82.7,19.0,0.0,55.1,16.3,18.0,24.233333333333334,6.533333333333333,31.0,22.6,0.0,23.5,28.9,17.3,3.0,0.0,12.1,26.451111111111114,1271.3762962962965,25.8,43.275,19.118518518518517,1.5,12.1
51.8,77.6,19.0,0.0,58.8,16.4,18.0,25.2,6.6,36.0,20.8,0.0,23.333333333333332,27.2,18.4,3.0,0.0,11.8,26.60888888888889,1299.762962962963,25.9,42.95,19.503703703703703,1.5,11.8
52.0,72.5,19.0,0.0,62.5,16.5,18.0,26.166666666666664,6.666666666666666,41.0,19.0,0.0,23.166666666666664,25.5,19.5,3.0,0.0,11.5,26.76666666666667,1328.1496296296298,26.0,42.625,19.88888888888889,1.5,11.5
52.2,67.4,19.0,0.0,66.2,16.6,18.0,27.133333333333333,6.733333333333333,46.0,17.2,0.0,23.0,23.8,20.6,3.0,0.0,11.2,26.924444444444447,1356.5362962962963,26.1,42.3,20.274074074074075,1.5,11.2
52.4,62.300000000000004,19.0,0.0,69.9,16.7,18.0,28.1,6.8,51.0,15.4,0.0,22.833333333333332,22.1,21.700000000000003,3.0,0.0,10.9,27.082222222222224,1384.922962962963,26.2,41.975,20.65925925925926,1.5,10.9
52.6,57.2,19.0,0.0,73.6,16.8,18.0,29.066666666666666,6.866666666666666,56.0,13.6,0.0,22.666666666666664,20.4,22.8,3.0,0.0,10.6,27.240000000000006,1413.3096296296299,26.3,41.65,21.044444444444444,1.5,10.6
52.8,52.1,19.0,0.0,77.30000000000001,16.9,18.0,30.03333333333333,6.933333333333334,61.0,11.8,0.0,22.5,18.700000000000003,23.9,3.0,0.0,10.3,27.397777777777783,1441.6962962962964,26.4,41.325,21.42962962962963,1.5,10.3
53.0,47.0,19.0,0.0,81.0,17.0,18.0,31.0,7.0,66.0,10.0,0.0,22.333333333333332,17.0,25.0,3.0,0.0,10.0,27.55555555555556,1470.0829629629632,26.5,41.0,21.814814814814817,1.5,10.0
50.6,48.0,19.7,4.4,77.8,18.6,17.4,32.5,6.6,66.0,9.6,0.0,21.299999999999997,18.9,25.3,3.0,0.0,9.0,27.780000000000005,1444.7786666666668,27.5,41.025,21.955555555555556,1.5,9.0
